,WorkerId,WorkTimeInSeconds,Input.pdf_url,Input.Category,Answer.question
0,A1GGOZPHYU0OC0,183,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf,Ask a question about a figure in the document.,N/A - no figures
1,A1GGOZPHYU0OC0,405,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf,Ask a question about the document.,Is the filename required for the output file path?
2,A1GGOZPHYU0OC0,257,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf,Ask a question about a table in the document.,N/A - no tables
3,A1GGOZPHYU0OC0,390,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf,Ask a question about the structure of the document.,What buttons are listed on page 2?
4,A1GGOZPHYU0OC0,262,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf,Ask for a summary of parts of the document or the full document.,Can you provide a short summary of what all the buttons do?
5,A1GGOZPHYU0OC0,226,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf,Ask for specific content to be extracted from the document.,Name all buttons
6,A1GGOZPHYU0OC0,302,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf,Ask for a rewrite of some text in the document.,"Can you rewrite this sentence in the style of Bill Cosby: ""Select to create an on-screen preview of report the system task will generate."""
7,A1GGOZPHYU0OC0,202,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf,Ask a question that can’t be answered with just the document.,When was ECC online help site launched?
8,A3UUH3632AI3ZX,77,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf,Ask a question that needs multiple parts of the document to answer.,How many sections are there in the table of system tasks?
9,A1NF6PELRKACS9,1215,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf,Ask about the type of the document.,Is this document a software article?
10,A1GGOZPHYU0OC0,66,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf,Ask a question that is not answerable with the document.,Can the Output File Path be a Google Drive path?
11,AORHXBTOCXFUK,326,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf,Ask a question that is not answerable with the document.,Name of the printer the system uses to print the report generated by the system task
12,A1GGOZPHYU0OC0,140,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--168853401.pdf,Ask a question about a figure in the document.,N/A - no numbered figures
13,A2SWQM5X54P1O5,494,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--168853401.pdf,Ask a question about the document.,Are the fees nonrefundable?
14,A1GGOZPHYU0OC0,255,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--168853401.pdf,Ask a question about a table in the document.,Can you sort the Stop IDs in the route table for Bus 03 in ascending order?
15,A1GGOZPHYU0OC0,100,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--168853401.pdf,Ask a question about the structure of the document.,What is the purpose of the first table on page 2?
16,A1NF6PELRKACS9,1113,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--168853401.pdf,Ask for a summary of parts of the document or the full document.,What is the concise summary of the terms and conditions mentioned in page 3 of the document?
17,A1MJVTR0PCKBWW,41,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--168853401.pdf,Ask for specific content to be extracted from the document.,What Bus does The Nexus bus stop?
18,AORHXBTOCXFUK,299,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--168853401.pdf,Ask for specific content to be extracted from the document.,Students already taking the bus 2-way per day $ 100.00 / term / child
19,A38DC3BG1ZCVZ2,662,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--168853401.pdf,Ask for a rewrite of some text in the document.,"Can you rewrite this but change the currency to US dollars? ""These costs are fixed and students can use the bus one or multiple days per week. The cost shall be charged per term according to four (4) terms in a school year. All costs are quoted in Singapore  dollars and subject to the prevailing Goods and Services Tax of 7%."""
20,A1MJVTR0PCKBWW,27,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--168853401.pdf,Ask a question that can’t be answered with just the document.,What is the stop code for Holland Village for Bus 04?
21,A3UUH3632AI3ZX,74,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--168853401.pdf,Ask a question that needs multiple parts of the document to answer.,Would you be willing to read and sign the terms and conditions after seeing the costs section?
22,A26ZENZ5G8AEGM,85,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--168853401.pdf,Ask about the type of the document.,Is this form an application for bus transportation?
23,A26ZENZ5G8AEGM,96,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--168853401.pdf,Ask a question that is not answerable with the document.,What is the schedule for the bus stops?
24,AORHXBTOCXFUK,311,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--168853401.pdf,Ask a question that is not answerable with the document.,Students must remain seated and keep their seat belts fastened throughout their journey.
25,A1GGOZPHYU0OC0,198,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--16132429.pdf,Ask a question about a figure in the document.,N/A - no figures
26,A1GGOZPHYU0OC0,297,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--16132429.pdf,Ask a question about the document.,Does Michael Crawford support same-sex marriage?
27,A1GGOZPHYU0OC0,339,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--16132429.pdf,Ask a question about a table in the document.,N/A - no tables
28,AORHXBTOCXFUK,417,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--16132429.pdf,Ask a question about a table in the document.,Who is stand up for students?
29,A2SWQM5X54P1O5,675,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--16132429.pdf,Ask a question about the structure of the document.,"On page 7, under Daily Sudoku section, will the solved puzzle be published in the next print of this publication?"
30,A1GGOZPHYU0OC0,316,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--16132429.pdf,Ask for a summary of parts of the document or the full document.,Can you summarize the story on Hattie McDaniel as if I were 5 years old?
31,A2SWQM5X54P1O5,752,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--16132429.pdf,Ask for specific content to be extracted from the document.,Can you list down events that are happening on campus on April in bullet form.
32,A1GGOZPHYU0OC0,330,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--16132429.pdf,Ask for a rewrite of some text in the document.,"Can you rewrite this LBJ quote in the style of George Washington instead: ""The vote is the most powerful instrument ever devised by man for breaking down injustice and destroying the terrible walls which imprison men."""
33,A1GGOZPHYU0OC0,88,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--16132429.pdf,Ask a question that can’t be answered with just the document.,When was Hattie McDaniel born?
34,A1NF6PELRKACS9,1176,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--16132429.pdf,Ask a question that needs multiple parts of the document to answer.,Name all the politicians mentioned in the doument.
35,A1NF6PELRKACS9,1219,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--16132429.pdf,Ask about the type of the document.,What sports related articles are mentioned in the document?
36,A1GGOZPHYU0OC0,344,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--16132429.pdf,Ask a question that is not answerable with the document.,When did Katie Chandler become the legal guardian of her sister?
37,A3JN18TC8GL3IH,173,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--350292806.pdf,Ask a question about a figure in the document.,"How many schools have Drinking Water, Boys Toilet and Girls Toilet in the belgaum chikkodi district as on 31/03/2012?"
38,A1GGOZPHYU0OC0,126,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--350292806.pdf,Ask a question about the document.,Is there drinking water at Tanvashi High School?
39,A1GGOZPHYU0OC0,301,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--350292806.pdf,Ask a question about a table in the document.,Can you re-sort the list by School Code but in descending not ascending order?
40,A1GGOZPHYU0OC0,158,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--350292806.pdf,Ask a question about the structure of the document.,What does row 31 on page 2 show about the school?
41,A1GGOZPHYU0OC0,261,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--350292806.pdf,Ask for a summary of parts of the document or the full document.,Can you summarize in plain English what schools offer drinking water from the 2nd page table?
